Maths,Physics,English,Economics,Biology,Group
36,50,15,43,29,11
50,70,84,45,65,11
92,57,54,76,64,11
56,11,64,18,33,11
42,41,98,58,26,11
29,22,49,39,67,11
12,35,75,55,71,12
25,39,84,41,48,12
13,37,85,73,57,12
22,40,39,64,94,12
50,34,12,58,92,12
65,84,11,82,94,12
28,81,89,39,92,12
79,17,12,61,39,12
20,72,72,32,40,12
82,99,80,91,54,12
47,90,86,88,20,12
88,89,78,49,57,12
61,51,59,44,45,12
53,36,81,62,56,12
76,10,69,19,43,12
17,98,63,83,70,12
18,89,44,83,92,12
81,92,43,54,93,12
76,71,84,99,81,12
83,50,29,16,71,12
34,46,60,96,46,12
29,43,58,98,53,12
63,13,22,70,38,12
49,84,23,33,58,12
51,30,63,53,93,12
35,82,52,27,68,12
97,71,16,48,38,12
69,68,53,69,25,12
89,52,88,24,31,12
23,91,34,58,52,12
75,48,22,56,96,13
63,63,76,35,22,13
41,37,35,15,86,13
58,22,96,12,61,13
63,81,31,43,42,13
57,76,20,91,14,13
42,24,36,12,64,13
82,14,83,52,12,13
39,72,78,80,21,13
21,38,14,71,44,13
59,94,41,75,18,13
83,67,39,56,44,13
13,42,85,68,33,13
91,71,75,33,27,13
55,36,78,70,57,13
14,60,51,77,22,13
61,67,27,66,48,13
98,97,45,76,24,13
83,33,84,34,81,13
45,81,63,60,10,13
55,29,74,40,78,13
84,84,52,90,99,13
77,76,58,99,49,13
36,20,25,74,28,13
49,56,43,85,96,13
92,97,25,95,63,13
28,19,40,85,89,13
68,44,29,50,33,13
80,46,55,48,15,13
39,36,79,78,14,13
20,87,23,93,15,14
63,46,59,35,59,14
15,41,22,86,97,14
93,99,95,83,95,14
39,46,41,57,68,14
34,94,19,23,42,14
74,49,29,41,38,14
45,26,64,73,14,14
60,91,47,58,34,14
78,71,55,77,49,14
93,99,58,14,66,14
80,30,51,45,53,14
31,13,82,77,24,14
87,84,21,77,77,14
41,20,39,11,21,14
26,89,83,53,83,14
82,81,87,90,80,14
73,17,51,93,15,14
35,89,94,42,66,14
58,32,57,45,39,14
93,33,18,32,84,14
11,52,67,33,45,14
89,63,82,27,23,14
23,67,13,91,19,14
40,28,92,83,38,14
63,57,38,53,84,14
24,13,30,53,98,14
38,25,32,72,23,14
55,50,49,12,10,14
39,79,27,87,27,14
46,79,37,78,22,15
71,58,86,70,50,15
87,54,48,39,99,15
75,37,79,85,24,15
71,22,98,67,19,15
28,73,70,32,73,15
21,48,73,80,31,15
53,87,11,63,91,15
45,73,95,95,53,15
31,76,65,22,21,15
39,24,27,10,89,15
51,75,69,97,65,15
82,31,93,97,63,15
99,16,53,48,66,15
15,57,92,12,93,15
85,74,50,53,85,15
92,51,54,89,18,15
75,86,90,20,32,15
49,81,50,80,61,15
52,22,39,49,79,15
52,68,89,69,13,15
14,98,56,29,98,15
42,76,58,21,82,15
80,33,74,71,78,15
29,52,49,80,86,15
32,91,51,85,55,15
94,75,38,42,64,15
77,23,56,19,65,15
48,30,76,44,11,15
97,91,91,93,50,15
43,10,57,60,36,16
12,98,78,21,70,16
24,77,77,24,15,16
71,51,49,28,70,16
94,67,77,12,93,16
25,13,79,17,20,16
11,55,12,60,88,16
70,55,87,59,58,16
46,48,82,18,74,16
88,96,76,78,23,16
50,77,21,46,27,16
52,19,88,54,51,16
54,30,69,48,25,16
76,25,21,20,18,16
48,75,82,24,74,16
68,37,94,93,50,16
28,12,39,10,75,16
91,40,10,25,17,16
85,59,63,87,18,16
30,87,25,61,13,16
41,29,28,38,11,16
85,31,86,45,65,16
15,99,46,29,68,16
91,22,13,33,28,16
53,78,77,69,45,16
67,92,80,45,55,16
92,34,33,35,61,16
16,32,49,71,97,16
96,57,73,97,62,16
77,14,51,21,81,16
50,51,60,51,88,17
38,83,23,40,38,17
75,57,52,70,63,17
60,25,95,59,81,17
35,95,56,31,24,17
86,85,55,21,85,17
60,56,57,42,29,17
14,84,29,99,43,17
26,80,98,53,24,17
97,81,97,58,56,17
85,68,70,34,63,17
16,83,38,60,27,17
57,62,26,32,21,17
99,67,24,13,27,17
27,81,58,66,17,17
54,16,24,90,11,17
34,87,86,65,97,17
15,24,35,33,17,17
80,28,26,85,30,17
66,18,50,87,90,17
75,20,72,66,77,17
44,58,69,18,52,17
52,28,84,96,85,17
27,36,88,66,22,17
38,11,79,55,48,17
25,85,80,76,53,17
57,92,79,33,64,17
48,21,20,99,42,17
76,38,61,71,84,17
24,23,37,71,27,17
22,54,61,76,18,18
43,70,34,26,49,18
58,20,50,80,57,18
59,91,22,26,56,18
94,66,76,47,37,18
86,45,21,36,25,18
80,71,89,52,82,18
14,35,33,49,60,18
20,96,84,19,15,18
79,20,10,20,38,18
86,28,18,95,63,18
32,35,14,60,12,18
74,84,97,51,14,18
86,77,59,54,59,18
99,23,60,30,82,18
26,21,14,90,55,18
69,47,37,61,75,18
39,80,84,15,83,18
21,38,84,55,19,18
39,30,15,78,25,18
53,35,89,48,93,18
65,51,78,67,54,18
68,43,40,76,80,18
61,20,63,52,49,18
95,11,18,42,79,18
81,86,34,64,67,18
14,72,21,80,48,18
87,40,25,99,84,18
35,80,38,36,66,18
34,33,78,87,91,18
29,39,55,54,14,19
23,56,91,72,76,19
96,71,99,57,52,19
67,43,90,85,37,19
53,92,46,40,49,19
63,78,37,71,31,19
41,97,39,28,27,19
89,48,87,16,20,19
76,14,41,26,69,19
58,33,57,96,95,19
51,95,54,93,74,19
63,39,88,50,65,19
50,12,90,83,18,19
46,72,23,57,93,19
66,24,45,65,71,19
51,62,27,66,98,19
55,57,16,16,92,19
59,81,24,13,56,19
81,82,10,22,96,19
21,36,86,69,24,19
19,45,23,93,61,19
63,44,10,59,53,19
48,76,78,37,47,19
69,29,43,97,69,19
23,80,66,21,27,19
69,95,62,87,55,19
51,99,41,32,17,19
78,60,63,26,80,19
57,43,73,49,59,19
38,52,13,14,79,19
13,58,53,62,45,20
70,72,50,64,38,20
46,99,96,45,26,20
80,50,13,54,98,20
30,88,57,92,54,20
18,49,75,34,89,20
79,86,71,22,93,20
55,82,93,33,68,20
31,85,47,72,51,20
84,71,68,38,74,20
51,46,88,53,12,20
22,36,62,44,26,20
28,18,69,67,37,20
27,26,10,99,31,20
85,10,49,30,10,20
84,21,36,94,95,20
64,39,40,43,20,20
92,43,50,11,76,20
83,87,42,91,77,20
44,47,57,91,89,20
25,31,83,59,62,20
89,55,74,53,76,20
63,37,80,82,49,20
21,20,10,88,21,20
82,12,76,30,71,20
84,96,83,11,31,20
38,46,29,79,97,20
18,60,86,25,63,20
41,60,39,41,72,20
13,94,53,44,14,20
74,13,54,68,19,21
47,41,90,60,57,21
60,13,14,48,47,21
32,46,75,89,19,21
83,62,11,69,49,21
18,32,17,69,26,21
39,23,21,71,68,21
33,92,27,40,66,21
87,45,28,41,80,21
82,37,70,11,21,21
43,96,97,12,47,21
26,16,60,87,46,21
97,98,19,74,86,21
54,35,24,39,45,21
48,70,75,80,13,21
15,87,88,49,87,21
77,54,72,83,61,21
78,53,89,77,56,21
30,85,42,45,38,21
17,78,18,54,26,21
18,94,88,32,68,21
91,98,12,67,92,21
28,68,10,67,49,21
33,16,28,73,11,21
99,18,77,42,38,21
23,52,64,16,10,21
74,41,26,47,77,21
44,64,96,54,57,21
97,28,27,93,26,21
80,91,11,29,21,21
44,52,41,25,56,22
49,49,72,49,33,22
70,40,41,33,77,22
70,47,36,54,44,22
82,83,58,45,49,22
47,56,60,17,53,22
84,79,51,58,96,22
74,87,37,87,47,22
64,57,31,22,71,22
29,94,12,91,37,22
86,30,72,23,62,22
44,96,39,96,57,22
87,13,66,56,27,22
55,89,32,10,93,22
59,36,20,66,56,22
19,52,86,16,82,22
61,67,28,52,20,22
80,42,89,25,67,22
70,34,88,72,97,22
57,55,62,74,27,22
37,16,70,46,18,22
83,57,18,96,55,22
78,65,62,61,18,22
32,98,79,99,54,22
96,74,30,10,19,22
41,95,35,97,10,22
80,96,12,41,77,22
26,43,97,28,43,22
22,75,91,83,49,22
86,20,69,50,40,22
99,78,12,70,97,23
78,70,71,73,58,23
55,25,70,54,65,23
53,56,25,90,67,23
18,80,14,30,36,23
78,30,63,14,20,23
73,97,16,15,62,23
95,54,75,38,78,23
10,58,99,85,28,23
98,86,50,29,68,23
42,79,80,16,63,23
74,45,98,50,79,23
82,46,59,15,99,23
50,23,77,72,73,23
96,82,76,39,11,23
96,47,87,55,60,23
42,45,36,11,29,23
50,37,92,81,45,23
66,54,38,82,85,23
53,78,46,18,11,23
90,17,67,26,99,23
92,55,57,24,56,23
42,23,82,30,13,23
84,18,92,57,13,23
93,68,65,43,64,23
95,95,28,84,94,23
35,59,66,42,43,23
36,45,70,94,15,23
39,47,21,36,75,23
59,90,51,95,55,23
50,15,59,20,13,24
15,94,61,78,31,24
59,26,36,49,54,24
50,66,59,80,63,24
73,55,77,52,43,24
90,71,54,57,52,24
92,60,12,62,70,24
25,77,81,94,93,24
72,95,85,85,67,24
88,67,76,32,88,24
28,94,22,53,15,24
64,39,10,78,59,24
61,31,59,53,60,24
90,73,55,21,75,24
38,66,92,62,99,24
33,36,56,14,13,24
14,42,55,35,61,24
79,30,98,40,12,24
47,99,27,88,49,24
32,37,92,14,35,24
23,57,61,28,12,24
33,31,96,90,88,24
44,55,17,45,78,24
46,42,43,73,44,24
95,34,90,51,63,24
18,97,44,64,70,24
46,81,64,87,58,24
46,99,12,20,42,24
26,47,27,90,84,24
93,11,11,14,68,24
20,48,18,31,40,25
29,11,67,33,90,25
93,39,17,32,18,25
87,82,78,53,27,25
51,62,84,79,22,25
59,83,29,70,99,25
35,23,68,97,16,25
78,20,56,30,53,25
31,63,44,93,25,25
61,40,85,56,98,25
42,86,64,44,41,25
82,96,17,31,14,25
84,69,99,13,76,25
57,24,63,66,80,25
58,62,51,88,55,25
64,36,38,23,32,25
60,10,21,36,34,25
56,93,99,23,11,25
32,20,29,43,92,25
38,34,89,50,24,25
16,81,62,15,48,25
14,88,44,10,67,25
84,29,42,71,22,25
21,76,22,63,10,25
88,51,13,65,66,25
98,32,86,12,80,25
94,67,73,23,83,25
45,74,83,34,14,25
45,22,64,19,40,25
49,23,63,75,48,25
56,43,41,41,19,26
47,76,32,66,69,26
58,10,61,64,36,26
50,60,27,17,28,26
96,12,21,93,76,26
75,87,99,71,38,26
62,84,58,85,66,26
60,36,36,58,93,26
90,92,76,63,99,26
15,92,99,93,20,26
98,48,76,43,59,26
81,37,92,66,55,26
74,68,48,84,63,26
51,17,83,23,38,26
80,71,23,65,72,26
47,34,39,91,71,26
51,32,78,18,37,26
61,65,62,20,12,26
88,80,81,65,24,26
21,97,42,75,66,26
31,20,53,92,98,26
88,15,34,57,29,26
77,75,70,75,84,26
61,22,19,72,17,26
59,84,97,70,91,26
20,90,52,84,49,26
52,21,87,91,37,26
62,51,84,16,89,26
40,66,27,19,50,26
83,93,40,51,48,26
37,24,45,35,30,27
47,86,89,21,59,27
31,64,64,65,83,27
52,67,60,51,51,27
86,60,55,78,75,27
93,60,54,97,53,27
20,21,66,38,36,27
54,94,12,54,17,27
16,25,33,40,54,27
33,32,25,49,99,27
11,22,99,83,62,27
73,29,10,94,24,27
92,24,77,73,24,27
86,86,93,23,53,27
70,14,79,14,45,27
76,60,68,68,92,27
43,71,89,20,30,27
41,96,12,51,78,27
73,53,51,61,96,27
45,48,50,48,21,27
31,21,52,25,97,27
40,98,51,26,48,27
98,40,19,58,64,27
35,46,18,70,61,27
19,91,37,15,76,27
64,71,12,38,96,27
42,14,19,87,77,27
76,48,29,45,54,27
17,49,77,87,83,27
59,24,90,56,77,27
64,15,15,36,63,28
14,70,91,90,68,28
92,97,89,13,52,28
31,70,25,23,77,28
86,92,44,31,69,28
77,28,45,82,80,28
46,68,21,39,18,28
49,20,66,55,68,28
68,78,53,34,91,28
94,17,40,31,83,28
47,86,45,42,86,28
53,11,53,19,98,28
91,89,74,28,37,28
53,49,14,56,82,28
60,69,42,62,61,28
51,99,53,25,45,28
70,83,89,27,29,28
23,65,12,63,59,28
93,56,35,64,77,28
57,98,26,52,23,28
66,20,36,98,86,28
84,73,99,68,68,28
96,91,45,98,92,28
97,23,82,73,29,28
11,94,84,15,76,28
86,42,50,28,35,28
29,18,23,55,17,28
26,79,94,14,67,28
97,43,32,57,55,28
64,71,32,11,72,28
36,17,93,25,29,29
81,82,17,54,32,29
78,22,49,71,33,29
97,73,95,60,94,29
49,62,98,30,99,29
45,32,61,52,48,29
28,41,88,12,47,29
97,92,93,51,44,29
73,84,20,60,86,29
57,50,21,19,74,29
53,35,94,44,67,29
77,45,90,12,61,29
59,96,81,95,61,29
24,14,28,97,61,29
19,53,74,56,84,29
94,95,41,38,78,29
45,21,88,90,54,29
97,22,26,99,99,29
94,35,41,94,25,29
86,79,56,97,47,29
35,94,87,82,14,29
96,89,13,27,17,29
75,63,18,14,86,29
72,18,17,61,65,29
73,68,20,42,17,29
35,91,32,56,14,29
94,79,53,80,88,29
37,13,69,95,44,29
76,82,38,48,74,29
91,21,95,38,26,29
86,38,30,36,53,30
38,49,16,98,18,30
51,45,73,85,93,30
36,53,38,82,86,30
90,82,65,87,54,30
63,26,22,69,99,30
37,12,79,98,96,30
99,54,36,41,55,30
19,39,61,23,11,30
23,12,92,52,79,30
44,85,17,68,40,30
69,22,48,46,46,30
53,87,53,14,89,30
86,15,30,99,84,30
51,76,25,53,21,30
81,70,31,96,73,30
53,77,64,10,55,30
82,52,88,26,23,30
96,52,48,76,49,30
86,32,87,55,31,30
47,73,77,15,11,30
22,56,30,34,80,30
88,34,84,47,78,30
88,69,75,82,53,30
54,31,94,86,36,30
65,40,10,80,71,30
70,79,35,40,42,30
64,32,10,56,75,30
38,89,35,13,29,30
40,45,70,93,44,30
74,18,86,33,32,31
35,90,37,37,12,31
39,50,43,37,92,31
60,78,89,88,76,31
15,10,55,57,19,31
38,19,28,59,43,31
99,89,38,46,52,31
72,21,94,67,46,31
16,27,16,94,78,31
11,52,48,52,23,31
94,54,92,15,82,31
75,52,58,18,84,31
61,42,92,44,40,31
80,88,99,82,94,31
70,98,54,36,23,31
15,15,11,34,66,31
41,64,72,28,99,31
65,85,56,92,59,31
25,20,34,96,61,31
10,63,77,19,31,31
65,33,40,78,67,31
57,64,83,84,23,31
64,96,92,59,17,31
93,67,41,27,27,31
68,20,54,75,24,31
94,50,10,74,68,31
22,54,49,17,72,31
78,37,31,15,43,31
16,43,79,71,75,31
32,83,62,98,84,31
40,48,72,56,74,32
68,55,73,24,62,32
38,19,86,16,51,32
36,31,48,66,43,32
15,38,37,85,98,32
26,83,38,88,66,32
29,90,81,77,29,32
86,33,13,83,60,32
58,52,19,47,33,32
77,43,99,91,93,32
25,31,78,81,66,32
72,60,56,52,11,32
93,85,38,76,94,32
78,35,81,18,24,32
70,70,37,94,30,32
48,77,60,84,48,32
77,94,61,15,36,32
68,69,33,67,10,32
27,14,14,96,16,32
57,24,30,91,24,32
31,91,20,52,62,32
11,11,64,75,74,32
83,69,36,19,79,32
50,46,61,99,41,32
11,57,74,19,82,32
91,38,59,86,48,32
33,13,72,25,65,32
19,61,59,14,89,32
33,75,17,16,72,32
83,42,77,21,46,32
91,76,57,46,46,33
17,17,76,83,88,33
96,25,85,84,38,33
70,55,23,59,63,33
74,78,50,10,47,33
88,21,48,61,24,33
39,93,69,97,35,33
39,91,28,81,42,33
50,63,84,28,96,33
71,61,22,14,40,33
17,18,40,84,15,33
91,45,77,73,28,33
58,37,64,92,39,33
45,64,17,63,65,33
55,24,75,13,56,33
83,74,95,71,53,33
16,58,63,94,80,33
18,13,73,56,49,33
98,63,56,77,72,33
59,13,13,72,85,33
91,82,51,45,64,33
10,90,12,56,75,33
37,53,45,45,18,33
76,92,14,98,60,33
56,27,23,57,68,33
65,55,64,39,81,33
32,97,77,15,94,33
25,85,75,56,22,33
54,62,71,58,57,33
12,78,66,49,73,33
77,33,74,75,56,34
87,16,59,61,71,34
83,49,99,89,17,34
24,12,40,13,61,34
34,39,41,31,13,34
45,27,48,82,53,34
78,61,13,82,30,34
32,95,38,88,36,34
78,52,67,54,17,34
19,58,49,86,91,34
44,75,73,20,52,34
92,22,64,22,86,34
63,48,78,93,45,34
39,82,47,60,40,34
78,59,44,22,49,34
39,19,58,38,58,34
90,92,23,67,16,34
95,57,99,94,62,34
56,19,23,27,38,34
25,91,33,79,76,34
84,61,80,69,55,34
40,13,65,30,52,34
50,26,98,44,21,34
86,88,68,51,90,34
78,89,44,29,74,34
98,80,83,15,28,34
15,87,14,29,63,34
46,71,60,51,19,34
24,47,75,16,48,34
50,16,11,10,92,34
59,77,30,84,22,35
70,59,27,87,81,35
28,85,13,69,46,35
79,61,74,51,33,35
48,99,80,58,20,35
78,37,76,38,61,35
26,27,98,11,27,35
73,73,40,15,50,35
26,99,41,85,26,35
42,53,33,11,80,35
82,30,27,38,80,35
62,11,62,46,52,35
48,17,29,23,63,35
32,78,93,83,93,35
80,33,89,66,58,35
68,77,39,17,31,35
37,65,34,32,82,35
86,13,74,85,10,35
43,63,60,19,39,35
49,54,13,66,38,35
50,95,21,57,24,35
99,64,59,22,19,35
59,35,94,42,15,35
42,46,66,22,97,35
40,20,90,18,99,35
76,12,79,52,16,35
62,10,53,85,85,35
40,20,13,94,98,35
99,15,34,41,11,35
95,86,18,61,28,35
47,74,18,74,14,36
62,50,56,72,75,36
29,69,77,32,76,36
14,39,94,27,60,36
89,62,97,24,23,36
76,58,50,82,70,36
41,30,34,37,30,36
97,68,96,31,92,36
51,91,80,18,52,36
35,53,24,29,90,36
11,59,59,30,15,36
93,45,49,41,83,36
75,39,78,81,51,36
66,94,79,80,89,36
60,74,13,67,84,36
78,70,49,48,47,36
75,47,64,27,78,36
39,62,24,76,60,36
55,24,65,37,77,36
58,28,92,96,54,36
40,45,21,64,42,36
38,44,57,26,16,36
20,41,59,20,82,36
19,18,61,45,44,36
67,28,73,19,60,36
42,85,57,95,26,36
87,52,87,88,35,36
64,93,11,38,61,36
14,66,12,53,33,36
98,68,99,96,43,36
90,67,70,76,34,37
79,38,85,19,65,37
47,48,70,45,43,37
92,88,79,96,87,37
77,30,40,16,83,37
30,31,51,18,44,37
34,28,12,89,19,37
28,76,99,74,10,37
29,93,13,82,53,37
45,39,95,82,49,37
52,97,31,37,32,37
84,25,26,86,73,37
11,88,21,44,36,37
27,47,96,23,22,37
26,60,92,76,69,37
31,95,94,51,87,37
31,37,43,57,23,37
67,61,51,92,91,37
95,72,29,20,55,37
70,49,28,82,22,37
85,49,39,39,16,37
66,70,32,36,77,37
17,18,49,59,91,37
91,94,66,69,97,37
55,98,80,59,78,37
20,56,46,28,77,37
19,43,57,50,30,37
62,24,40,70,32,37
64,96,60,12,87,37
90,41,75,23,14,37
27,35,24,50,83,38
41,96,91,85,80,38
20,65,97,29,47,38
65,73,30,83,41,38
90,53,27,31,97,38
77,50,28,79,86,38
80,98,86,35,34,38
25,57,18,10,19,38
61,80,48,53,53,38
80,79,73,18,25,38
19,39,97,49,23,38
17,27,59,91,47,38
44,34,68,96,79,38
77,50,88,41,83,38
28,71,73,25,97,38
66,63,31,30,42,38
20,10,84,28,13,38
34,30,82,47,50,38
83,50,30,35,38,38
70,84,62,97,13,38
33,41,39,88,37,38
73,89,87,30,42,38
24,61,61,37,55,38
71,15,18,49,76,38
30,83,78,89,32,38
56,15,32,67,20,38
49,50,95,46,83,38
55,75,87,42,46,38
36,80,87,36,78,38
22,36,62,36,42,38
52,13,13,59,77,39
22,94,28,65,19,39
71,32,42,84,10,39
72,57,41,98,83,39
84,32,97,34,69,39
48,93,85,93,96,39
43,61,46,98,42,39
73,36,25,45,75,39
85,73,12,25,28,39
48,94,62,94,51,39
64,60,75,34,12,39
28,52,53,10,95,39
75,19,80,77,77,39
72,52,91,41,91,39
75,99,86,55,60,39
91,45,10,27,97,39
54,84,37,51,52,39
32,64,75,54,88,39
89,96,42,44,24,39
92,32,82,35,97,39
14,59,62,73,88,39
32,21,31,88,96,39
42,64,94,95,15,39
